,States Missed,States Correct
0,Pennsylvania,Washington
1,Louisiana,Hawaii
2,North Carolina,Arkansas
3,Alaska,Nevada
4,Rhode Island,-
5,New Hampshire,-
6,Ohio,-
7,Iowa,-
8,Arizona,-
9,Montana,-
10,Colorado,-
11,West Virginia,-
12,Utah,-
13,Maine,-
14,Massachusetts,-
15,Mississippi,-
16,Connecticut,-
17,Florida,-
18,Vermont,-
19,Maryland,-
20,South Carolina,-
21,Nebraska,-
22,Wisconsin,-
23,Indiana,-
24,Delaware,-
25,Kentucky,-
26,South Dakota,-
27,Michigan,-
28,New Mexico,-
29,Virginia,-
30,Alabama,-
31,North Dakota,-
32,Oregon,-
33,Oklahoma,-
34,Kansas,-
35,Illinois,-
36,Texas,-
37,Missouri,-
38,Minnesota,-
39,New York,-
40,California,-
41,Tennessee,-
42,Georgia,-
43,Idaho,-
44,New Jersey,-
45,Wyoming,-
