Price,Address,URL
$979+ Studio,"The Republic at San Jacinto | 5018 San Jacinto St, Dallas, TX",https://www.zillow.com/b/the-republic-at-san-jacinto-dallas-tx-9KRQfX/
$820+ 1 bd,"Vue on Forest | 9750 Forest Ln, Dallas, TX",https://www.zillow.com/b/vue-on-forest-dallas-tx-5Xt4Hc/
$645+ Studio,"Villas de Solamar | 8350 Park Ln, Dallas, TX",https://www.zillow.com/b/villas-de-solamar-dallas-tx-5Xhsch/
$940+ 1 bd,"Regal Court | 5800 Preston View Blvd, Dallas, TX",https://www.zillow.com/b/regal-court-dallas-tx-5Xt4kG/
$985/mo,"4105 S Cockrell Hill Rd #104, Dallas, TX 75236",https://www.zillow.com/homedetails/4105-S-Cockrell-Hill-Rd-104-Dallas-TX-75236/2070409645_zpid/
$809 Studio,"Sonoma | 2001 N Fitzhugh Ave, Dallas, TX",https://www.zillow.com/b/sonoma-dallas-tx-5XjvZK/
$986+ 1 bd,"The Positano | 2519 John West Rd, Dallas, TX",https://www.zillow.com/b/the-positano-dallas-tx-5Xxbmh/
$825+ 1 bd,"Bella Vida | 7651 C F Hawn Fwy, Dallas, TX",https://www.zillow.com/b/bella-vida-dallas-tx-5XqVsm/
$815+ 1 bd,"The Blake | 9669 Forest Ln, Dallas, TX",https://www.zillow.com/b/the-blake-dallas-tx-5XkX5J/
$835+ 1 bd,"Cadence | 3913 Gannon Ln, Dallas, TX",https://www.zillow.com/b/cadence-dallas-tx-5Xhsn2/
$700+ 1 bd,"Villas Del Zocalo 3 | 9680 Timberline Dr, Dallas, TX",https://www.zillow.com/b/villas-del-zocalo-3-dallas-tx-5YLtd5/
$895+ 1 bd,"Del Sol on Royal Lane | 2825 Royal Ln, Dallas, TX",https://www.zillow.com/b/del-sol-on-royal-lane-dallas-tx-5YLtzD/
$960+ 1 bd,"Cross Creek Apartments | 6033 E Northwest Hwy, Dallas, TX",https://www.zillow.com/b/cross-creek-apartments-dallas-tx-5Xhspf/
$850+ 1 bd,"Canyon Creek | 10951 Stone Canyon Rd, Dallas, TX",https://www.zillow.com/b/canyon-creek-dallas-tx-5Xhsbj/
$911+ Studio,"Pacifica | 7550 S Westmoreland Rd, Dallas, TX",https://www.zillow.com/b/pacifica-dallas-tx-5XrD5W/
$735+ 1 bd,"The Emerson | 9900 Adleta Blvd, Dallas, TX",https://www.zillow.com/b/the-emerson-dallas-tx-5XnNqP/
