Indicator,Request URL
Two Crows,https://api.taapi.io/2crows?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Three Black Crows,https://api.taapi.io/3blackcrows?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Three Inside Up/Down,https://api.taapi.io/3inside?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Three-Line Strike,https://api.taapi.io/3linestrike?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Three Outside Up/Down,https://api.taapi.io/3outside?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Three Stars In The South,https://api.taapi.io/3starsinsouth?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Three Advancing White Soldiers,https://api.taapi.io/3whitesoldiers?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Abandoned Baby,https://api.taapi.io/abandonedbaby?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Absolute Value,https://api.taapi.io/abs?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Acceleration Bands,https://api.taapi.io/accbands?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Chaikin A/D Line,https://api.taapi.io/ad?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Arithmetic Add,https://api.taapi.io/add?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Chaikin A/D Oscillator,https://api.taapi.io/adosc?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Advance Block,https://api.taapi.io/advanceblock?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Average Directional Movement Index,https://api.taapi.io/adx?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Average Directional Movement Index Rating,https://api.taapi.io/adxr?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Awesome Oscillator,https://api.taapi.io/ao?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Absolute Price Oscillator,https://api.taapi.io/apo?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Aroon,https://api.taapi.io/aroon?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Aroon Oscillator,https://api.taapi.io/aroonosc?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Trigonometric ATan,https://api.taapi.io/atan?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Average True Range,https://api.taapi.io/atr?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Average Price,https://api.taapi.io/avgprice?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Bollinger Bands,https://api.taapi.io/bbands?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Bollinger Bands (another implementation),https://api.taapi.io/bbands2?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Belt-hold,https://api.taapi.io/belthold?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Beta,https://api.taapi.io/beta?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Balance Of Power,https://api.taapi.io/bop?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Breakaway,https://api.taapi.io/breakaway?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Candle,https://api.taapi.io/candle?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Candles,https://api.taapi.io/candles?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Commodity Channel Index,https://api.taapi.io/cci?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Ceil,https://api.taapi.io/ceil?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Choppiness Index (CHOP),https://api.taapi.io/chop?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Closing Marubozu,https://api.taapi.io/closingmarubozu?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Chaikin Money Flow,https://api.taapi.io/cmf?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Chande Momentum Oscillator,https://api.taapi.io/cmo?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Concealing Baby Swallow,https://api.taapi.io/concealbabyswall?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Coppock Curve,https://api.taapi.io/coppockcurve?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Pearson’s Correlation Coefficient,https://api.taapi.io/correl?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Trigonometric Cos,https://api.taapi.io/cos?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Counterattack,https://api.taapi.io/counterattack?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Dark Cloud Cover,https://api.taapi.io/darkcloudcover?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Double Exponential Moving Average,https://api.taapi.io/dema?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Arithmetic Div,https://api.taapi.io/div?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Directional Movement,https://api.taapi.io/dm?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&period=50
Directional Movement Index,https://api.taapi.io/dmi?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Doji,https://api.taapi.io/doji?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Doji Star,https://api.taapi.io/dojistar?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Detrended Price Oscillator,https://api.taapi.io/dpo?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&period=50
Dragonfly Doji,https://api.taapi.io/dragonflydoji?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Directional Movement Index,https://api.taapi.io/dx?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Exponential Moving Average,https://api.taapi.io/ema?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Ease of Movement,https://api.taapi.io/emv?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Engulfing Pattern,https://api.taapi.io/engulfing?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Evening Doji Star,https://api.taapi.io/eveningdojistar?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Evening Star,https://api.taapi.io/eveningstar?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Fibonacci Retracement,https://api.taapi.io/fibonacciretracement?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Fisher Transform,https://api.taapi.io/fisher?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&period=50
Vector Floor,https://api.taapi.io/floor?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Forecast Oscillator,https://api.taapi.io/fosc?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&period=50
Up/Down-gap side-by-side white lines,https://api.taapi.io/gapsidesidewhite?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Gravestone Doji,https://api.taapi.io/gravestonedoji?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Hammer,https://api.taapi.io/hammer?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Hanging Man,https://api.taapi.io/hangingman?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Harami Pattern,https://api.taapi.io/harami?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Harami Cross Pattern,https://api.taapi.io/haramicross?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
